method,mean_capital_usd,mean_delay_h,savings_vs_fcfs_pct,savings_vs_milp_pct
FCFS,149991.11684741694,445.92,0.0,-1231.7819112619027
MILP-CBC,11262.438360143813,41.52,92.49126308486598,0.0
GA,149983.49925325948,445.92,0.005078696870569502,-1231.7142740956526
PPO,150975.1139305886,445.92,-0.6560369066207103,-1240.5188921154793
